geoid,name,ms535_status,ms535_kind,ms535_year,ms535_source
3301517140,Danville,loaded,appropriation,2025,UNH Danville 2025 annual report — appropriation (text-form)
3301517460,Deerfield,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301117780,Deering,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301517940,Derry,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300918740,Dorchester,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301718820,Dover,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300519140,Dublin,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300719300,Dummer,needs_review,appropriation,2025,text-form
3301319460,Dunbarton,loaded,appropriation,2023,UNH Dunbarton 2023 annual report — appropriation (text-form)
3301719700,Durham,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301521380,East Kingston,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300922020,Easton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300323380,Eaton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300323620,Effingham,loaded,appropriation,2023,UNH Effingham 2023 annual report — appropriation (text-form)
3300923860,Ellsworth,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300924340,Enfield,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301524660,Epping,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301324900,Epsom,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300725140,Errol,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301525380,Exeter,loaded,appropriation,2024,UNH Exeter 2024 annual report — appropriation (text-form)
3301726020,Farmington,loaded,appropriation,2025,UNH Farmington 2025 annual report — appropriation (text-form)
3300526500,Fitzwilliam,needs_review,appropriation,2024,text-form
3301127140,Francestown,loaded,appropriation,2025,UNH Francestown 2025 annual report — appropriation (text-form)
3300927300,Franconia,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301327380,Franklin,needs_review,,2022,no standard DRA form found (name-only summary or city GASB format)
3300327700,Freedom,loaded,appropriation,2025,UNH Freedom 2025 annual report — appropriation (text-form)
3301527940,Fremont,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300128740,Gilford,needs_review,appropriation,2025,scanned-ocr
3300128980,Gilmanton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300529220,Gilsum,loaded,appropriation,2025,UNH Gilsum 2025 annual report — appropriation (text-form)
3301129860,Goffstown,loaded,appropriation,2025,UNH Goffstown 2025 annual report — appropriation (text-form)
3300730260,Gorham,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301930500,Goshen,needs_review,appropriation,2025,scanned-ocr
3300930820,Grafton,needs_review,appropriation,2024,scanned-ocr
3301931220,Grantham,needs_review,appropriation,2025,scanned-ocr
3301131540,Greenfield,loaded,appropriation,2024,UNH Greenfield 2024 annual report — appropriation (text-form)
3301531700,Greenland,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301131940,Greenville,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300932180,Groton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301532900,Hampstead,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301533060,Hampton,loaded,appropriation,2025,UNH Hampton 2025 annual report — appropriation (text-form)
3301533460,Hampton Falls,loaded,appropriation,2025,UNH Hampton Falls 2025 annual report — appropriation (text-form)
3301133700,Hancock,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300933860,Hanover,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300534420,Harrisville,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300334500,Hart's Location,loaded,appropriation,2024,UNH Hart's Location 2024 annual report — appropriation (text-form)
3300934820,Haverhill,loaded,appropriation,2025,UNH Haverhill 2025 annual report — appropriation (text-form)
3300935220,Hebron,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301335540,Henniker,needs_review,appropriation,2025,text-form
3301335860,Hill,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301136180,Hillsborough,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300536660,Hinsdale,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300936900,Holderness,loaded,appropriation,2025,UNH Holderness 2025 annual report — appropriation (text-form)
3301137140,Hollis,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301337300,Hooksett,loaded,appropriation,2024,UNH Hooksett 2024 annual report — appropriation (text-form)
3301337540,Hopkinton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301137940,Hudson,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300338260,Jackson,loaded,appropriation,2025,UNH Jackson 2025 annual report — appropriation (text-form)
3300538500,Jaffrey,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300738820,Jefferson,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300539300,Keene,needs_review,,1962,no standard DRA form found (name-only summary or city GASB format)
3301539780,Kensington,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301540100,Kingston,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300140180,Laconia,needs_review,,2023,no standard DRA form found (name-only summary or city GASB format)
3300740420,Lancaster,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300940660,Landaff,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301940900,Langdon,needs_review,appropriation,2024,text-form
3300941300,Lebanon,needs_review,,2022,no standard DRA form found (name-only summary or city GASB format)
3301741460,Lee,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301941700,Lempster,loaded,appropriation,2025,UNH Lempster 2025 annual report — appropriation (text-form)
3300941860,Lincoln,needs_review,appropriation,2025,scanned-ocr
3300942020,Lisbon,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301142260,Litchfield,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300942580,Littleton,loaded,appropriation,2025,UNH Littleton 2025 annual report — appropriation (text-form)
3301543220,Londonderry,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301343380,Loudon,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300944100,Lyman,needs_review,appropriation,2025,text-form
3300944260,Lyme,loaded,actual,2024,UNH Lyme 2024 annual report — actual (scanned-ocr)
3301144580,Lyndeborough,needs_review,appropriation,2024,text-form
3301744820,Madbury,loaded,appropriation,2025,UNH Madbury 2025 annual report — appropriation (text-form)
3300345060,Madison,loaded,appropriation,2025,UNH Madison 2025 annual report — appropriation (text-form)
3301145140,Manchester,needs_review,,2022,no standard DRA form found (name-only summary or city GASB format)
3300545460,Marlborough,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300545700,Marlow,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301146260,Mason,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300147140,Meredith,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301147540,Merrimack,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301747700,Middleton,needs_review,appropriation,2025,scanned-ocr
3300747860,Milan,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301148020,Milford,loaded,actual,2024,UNH Milford 2024 annual report — actual (scanned-ocr)
3301748660,Milton,needs_review,appropriation,2025,text-form
3300948980,Monroe,loaded,appropriation,2025,UNH Monroe 2025 annual report — appropriation (text-form)
3301149140,Mont Vernon,needs_review,,2024,skipped: PDF hangs parser (needs a page hint)
3300349380,Moultonborough,loaded,appropriation,2023,UNH Moultonborough 2023 annual report — appropriation (text-form)
3301150260,Nashua,needs_review,,2023,timeout >120s
3300550580,Nelson,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301150740,New Boston,loaded,appropriation,2025,UNH New Boston 2025 annual report — appropriation (text-form)
3301550980,New Castle,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301751220,New Durham,loaded,appropriation,2025,UNH New Durham 2025 annual report — appropriation (text-form)
3300151540,New Hampton,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301151940,New Ipswich,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301352100,New London,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301350900,Newbury,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301551380,Newfields,loaded,appropriation,2025,UNH Newfields 2025 annual report — appropriation (text-form)
3301551620,Newington,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301552340,Newmarket,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301952580,Newport,loaded,appropriation,2024,UNH Newport 2024 annual report — appropriation (text-form)
3301552900,Newton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301554580,North Hampton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301354260,Northfield,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300756100,Northumberland,loaded,appropriation,2024,UNH Northumberland 2024 annual report — appropriation (text-form)
3301556820,Northwood,needs_review,appropriation,2025,text-form
3301557460,Nottingham,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300958340,Orange,needs_review,appropriation,2025,text-form
3300958500,Orford,loaded,appropriation,2024,UNH Orford 2024 annual report — appropriation (text-form)
3300358740,Ossipee,loaded,appropriation,2024,UNH Ossipee 2024 annual report — appropriation (text-form)
3301159940,Pelham,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301360020,Pembroke,loaded,appropriation,2025,UNH Pembroke 2025 annual report — appropriation (text-form)
3301160580,Peterborough,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300961060,Piermont,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300761780,Pittsburg,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301361940,Pittsfield,needs_review,appropriation,2025,scanned-ocr
3301962340,Plainfield,needs_review,,2025,timeout >120s
3301562500,Plaistow,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300962660,Plymouth,loaded,appropriation,2025,UNH Plymouth 2025 annual report — appropriation (text-form)
3301562900,Portsmouth,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300763860,Randolph,loaded,appropriation,2024,UNH Randolph 2024 annual report — appropriation (text-form)
3301564020,Raymond,needs_review,appropriation,2025,scanned-ocr
3300564420,Richmond,loaded,appropriation,2025,UNH Richmond 2025 annual report — appropriation (text-form)
3300564580,Rindge,loaded,actual,2024,UNH Rindge 2024 annual report — actual (scanned-ocr)
3301765140,Rochester,needs_review,,2023,no standard DRA form found (name-only summary or city GASB format)
3301765540,Rollinsford,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300565700,Roxbury,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300965940,Rumney,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301566180,Rye,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301566660,Salem,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301366980,Salisbury,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300167300,Sanbornton,loaded,appropriation,2024,UNH Sanbornton 2024 annual report — appropriation (text-form)
3301567620,Sandown,loaded,appropriation,2024,UNH Sandown 2024 annual report — appropriation (text-form)
3300367780,Sandwich,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301568260,Seabrook,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301168820,Sharon,loaded,appropriation,2024,UNH Sharon 2024 annual report — appropriation (text-form)
3300768980,Shelburne,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301769940,Somersworth,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301571140,South Hampton,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301972740,Springfield,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300773060,Stark,loaded,appropriation,2025,UNH Stark 2025 annual report — appropriation (text-form)
3300773380,Stewartstown,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300573700,Stoddard,loaded,appropriation,2025,UNH Stoddard 2025 annual report — appropriation (text-form)
3301773860,Strafford,loaded,appropriation,2024,UNH Strafford 2024 annual report — appropriation (text-form)
3300774180,Stratford,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301574340,Stratham,loaded,appropriation,2025,UNH Stratham 2025 annual report — appropriation (text-form)
3300974740,Sugar Hill,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300574900,Sullivan,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301975060,Sunapee,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300575300,Surry,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301375460,Sutton,loaded,appropriation,2024,UNH Sutton 2024 annual report — appropriation (text-form)
3300575700,Swanzey,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300376100,Tamworth,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3301176260,Temple,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3300976740,Thornton,needs_review,,2024,no standard DRA form found (name-only summary or city GASB format)
3300177060,Tilton,loaded,appropriation,2025,UNH Tilton 2025 annual report — appropriation (text-form)
3300577380,Troy,loaded,appropriation,2025,UNH Troy 2025 annual report — appropriation (text-form)
3300377620,Tuftonboro,loaded,appropriation,2024,UNH Tuftonboro 2024 annual report — appropriation (text-form)
3301977940,Unity,loaded,appropriation,2024,UNH Unity 2024 annual report — appropriation (text-form)
3300378180,Wakefield,needs_review,appropriation,2024,scanned-ocr
3300578420,Walpole,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301378580,Warner,loaded,appropriation,2024,UNH Warner 2024 annual report — appropriation (text-form)
3300978740,Warren,loaded,actual,2024,UNH Warren 2024 annual report — actual (scanned-ocr)
3301978980,Washington,needs_review,,2018,no standard DRA form found (name-only summary or city GASB format)
3300979380,Waterville Valley,needs_review,appropriation,2025,text-form
3301179780,Weare,loaded,appropriation,2023,UNH Weare 2023 annual report — appropriation (text-form)
3301380020,Webster,loaded,appropriation,2025,UNH Webster 2025 annual report — appropriation (text-form)
3300980500,Wentworth,loaded,actual,2025,UNH Wentworth 2025 annual report — actual (scanned-ocr)
3300582660,Westmoreland,loaded,appropriation,2025,UNH Westmoreland 2025 annual report — appropriation (text-form)
3300784420,Whitefield,needs_review,,2025,no standard DRA form found (name-only summary or city GASB format)
3301384900,Wilmot,loaded,actual,2025,UNH Wilmot 2025 annual report — actual (scanned-ocr)
3301185220,Wilton,loaded,appropriation,2025,UNH Wilton 2025 annual report — appropriation (text-form)
3300585540,Winchester,needs_review,actual,2023,scanned-ocr
3301585780,Windham,loaded,appropriation,2024,UNH Windham 2024 annual report — appropriation (text-form)
3301185940,Windsor,loaded,appropriation,2020,UNH Windsor 2020 annual report — appropriation (text-form)
3300386420,Wolfeboro,loaded,actual,2024,UNH Wolfeboro 2024 annual report — actual (scanned-ocr)
3300987060,Woodstock,loaded,appropriation,2024,UNH Woodstock 2024 annual report — appropriation (text-form)
