municipality,entity_type,municipal_rate,county_rate,local_ed_rate,state_ed_rate,total_rate,equalization_ratio_pct,equalized_rate_status,equalized_rate_estimate,equalized_rate_estimate_rigorous,estimate_method,net_assessed_valuation,net_tax_commitment,equalized_valuation,source_rates,source_ratio,source_county,retrieved,vintage
Brentwood,town,4.11,0.57,11.41,1.04,17.13,94.69,ESTIMATE (DRA 2025 official not yet published),16.22,16.1,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1205954895,20506173,1273582105,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bridgewater,town,1.71,1.03,2.46,1.15,6.35,81.01,ESTIMATE (DRA 2025 official not yet published),5.14,5.12,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",814354200,5143961,1005251450,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bristol,town,5.11,1.1,5.86,1.09,13.16,97.59,ESTIMATE (DRA 2025 official not yet published),12.84,12.66,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1059292850,13746348,1085452249,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Brookfield,town,4.55,0.71,6.92,0.97,13.15,95.52,ESTIMATE (DRA 2025 official not yet published),12.56,12.48,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",245423736,3206312,256934397,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Brookline,town,4.73,0.97,17.81,1.13,24.64,91.22,ESTIMATE (DRA 2025 official not yet published),22.48,22.26,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1163052688,28377439,1274997465,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Cambridge,unincorporated,-2.03,4.08,0,1.06,3.11,77.4,ESTIMATE (DRA 2025 official not yet published),2.41,2.39,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",12576705,38911,16248973,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Campton,town,5.16,1.04,9.94,1.32,17.46,86.87,ESTIMATE (DRA 2025 official not yet published),15.17,14.92,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",898005381,15425264,1033734754,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Canaan,town,8.8,1.51,19.36,1.49,31.16,61.09,ESTIMATE (DRA 2025 official not yet published),19.04,18.95,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",472036854,14640644,772690872,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Candia,town,2.67,0.58,8.71,1.01,12.97,93.31,ESTIMATE (DRA 2025 official not yet published),12.1,11.91,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",942097252,12023724,1009642323,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Canterbury,town,4,2.21,12.7,1.58,20.49,64.03,ESTIMATE (DRA 2025 official not yet published),13.12,12.9,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",411102796,8283206,642047159,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Carroll,town,2.47,3.24,5.14,1.23,12.08,81.04,ESTIMATE (DRA 2025 official not yet published),9.79,9.71,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",660527803,7914677,815063923,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Center Harbor,town,4.64,1.17,4.63,1.4,11.84,66.96,ESTIMATE (DRA 2025 official not yet published),7.93,7.89,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",768923571,9056908,1148332693,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
