geoid,town,district_id,district,grade_span,sau_id,sau
3301335540,Henniker,275,John Stark Regional,9-12,24,Henniker SAU Office
3301335860,Hill,247,Hill,P-6,103,Hill SAU Office
3301136180,Hillsborough,251,Hillsboro-Deering Cooperative,P-12,34,Hillsboro-Deering SAU Office
3300536660,Hinsdale,255,Hinsdale,P-12,92,Hinsdale SAU Office
3300936900,Holderness,257,Holderness,K-8,48,Plymouth SAU Office
3300936900,Holderness,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3301137140,Hollis,259,Hollis,P-6,41,Hollis-Brookline SAU Office
3301137140,Hollis,260,Hollis-Brookline Cooperative,7-12,41,Hollis-Brookline SAU Office
3301337300,Hooksett,261,Hooksett,P-8,15,Hooksett SAU Office
3301337540,Hopkinton,263,Hopkinton,P-12,66,Hopkinton SAU Office
3301137940,Hudson,267,Hudson,P-12,81,Hudson SAU Office
3300338260,Jackson,271,Jackson,K-6,9,Conway SAU Office
3300538500,Jaffrey,274,Jaffrey-Rindge Cooperative,K-12,47,Jaffrey-Rindge SAU Office
3300738820,Jefferson,568,White Mountains Regional,P-12,36,White Mountains Regional SAU Office
3300539300,Keene,279,Keene,P-12,29,Keene SAU Office
3301539780,Kensington,172,Exeter Region Cooperative,6-12,16,Exeter SAU Office
3301539780,Kensington,281,Kensington,P-5,16,Exeter SAU Office
3301540100,Kingston,476,Sanborn Regional,P-12,17,Sanborn Regional SAU Office
3300140180,Laconia,285,Laconia,P-12,30,Laconia SAU Office
3300740420,Lancaster,568,White Mountains Regional,P-12,36,White Mountains Regional SAU Office
3300940660,Landaff,291,Landaff,P-4,35,SAU #35 Office
3301940900,Langdon,174,Fall Mountain Regional,P-12,60,Fall Mountain Regional SAU Office
3300941300,Lebanon,295,Lebanon,P-12,88,Lebanon SAU Office
3301741460,Lee,423,Oyster River Coop,P-12,5,Oyster River SAU Office
3301941700,Lempster,299,Lempster,P-8,71,Lempster SAU Office
3300941860,Lincoln,305,Lincoln-Woodstock Cooperative,K-12,68,Lincoln-Woodstock SAU Office
3300942020,Lisbon,306,Lisbon Regional,P-12,110,Lisbon Regional
3301142260,Litchfield,315,Litchfield,P-12,27,Litchfield SAU Office
3300942580,Littleton,317,Littleton,K-12,84,Littleton SAU Office
3301543220,Londonderry,319,Londonderry,P-12,12,Londonderry SAU Office
3301343380,Loudon,352,Merrimack Valley,P-12,46,SAU #46 Office
3300944100,Lyman,306,Lisbon Regional,P-12,110,Lisbon Regional
3300944260,Lyme,327,Lyme,K-8,76,Lyme SAU Office
3301144580,Lyndeborough,572,Wilton-Lyndeborough Cooperative,P-12,63,Wilton SAU Office
3301744820,Madbury,423,Oyster River Coop,P-12,5,Oyster River SAU Office
3300345060,Madison,333,Madison,P-6,13,Tamworth SAU Office
3301145140,Manchester,335,Manchester,P-12,37,Manchester SAU Office
3300545460,Marlborough,339,Marlborough,P-8,29,Keene SAU Office
3300545700,Marlow,341,Marlow,K-5,29,Keene SAU Office
3301146260,Mason,345,Mason,P-5,89,Mason SAU Office
3300147140,Meredith,269,Inter-Lakes Cooperative,P-12,2,Inter-Lakes Cooperative SAU Office
3301147540,Merrimack,351,Merrimack,P-12,26,Merrimack SAU Office
3301747700,Middleton,353,Middleton,P-6,69,Middleton SAU
3300747860,Milan,355,Milan,P-6,20,Gorham SAU Office
3301148020,Milford,357,Milford,P-12,40,Milford SAU Office
3300748260,Millsfield,114,Coos County School District,PS-12,98,Coos County
3301748660,Milton,359,Milton,P-12,64,Milton SAU Office
3300948980,Monroe,365,Monroe,P-8,77,Monroe SAU Office
3301149140,Mont Vernon,367,Mont Vernon,K-6,39,Amherst SAU Office
3301149140,Mont Vernon,493,Souhegan Cooperative,9-12,39,Amherst SAU Office
3300349380,Moultonborough,369,Moultonborough,P-12,45,Moultonborough SAU Office
3301150260,Nashua,371,Nashua,P-12,42,Nashua SAU Office
3300550580,Nelson,375,Nelson,K-5,29,Keene SAU Office
3301150740,New Boston,377,New Boston,P-6,19,Goffstown SAU Office
3301550980,New Castle,381,New Castle,K-6,50,Greenland SAU Office
3301751220,New Durham,208,Governor Wentworth Regional,P-12,49,Governor Wentworth Regional SAU Office
3300151540,New Hampton,388,Newfound Area,P-12,4,Newfound Area SAU Office
3301151940,New Ipswich,342,Mascenic Regional,P-12,87,Mascenic Regional SAU Office
3301352100,New London,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3301350900,Newbury,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3301551380,Newfields,172,Exeter Region Cooperative,6-12,16,Exeter SAU Office
3301551380,Newfields,387,Newfields,K-5,16,Exeter SAU Office
3301551620,Newington,391,Newington,K-6,50,Greenland SAU Office
3301552340,Newmarket,399,Newmarket,P-12,31,Newmarket SAU Office
3301952580,Newport,401,Newport,K-12,43,Newport SAU Office
3301552900,Newton,476,Sanborn Regional,P-12,17,Sanborn Regional SAU Office
3301554580,North Hampton,405,North Hampton,P-8,21,Winnacunnet SAU Office
3301554580,North Hampton,581,Winnacunnet Cooperative,9-12,21,Winnacunnet SAU Office
3301354260,Northfield,582,Winnisquam Regional,P-12,59,Winnisquam Regional SAU Office
3300756100,Northumberland,407,Northumberland,K-12,58,Northumberland SAU Office
3301556820,Northwood,411,Northwood,P-8,44,Northwood SAU Office
3301557460,Nottingham,413,Nottingham,P-8,107,Nottingham SAU Office
3300958340,Orange,343,Mascoma Valley Regional,P-12,62,Mascoma Valley SAU Office
3300958500,Orford,457,Rivendell,6-12,78,Rivendell Interstate SAU Office
3300358740,Ossipee,208,Governor Wentworth Regional,P-12,49,Governor Wentworth Regional SAU Office
3301159940,Pelham,425,Pelham,K-12,28,Pelham SAU Office
3301360020,Pembroke,427,Pembroke,K-12,53,Pembroke SAU Office
3301160580,Peterborough,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
3300961060,Piermont,435,Piermont,P-8,23,Haverhill Cooperative SAU Office
3300761780,Pittsburg,437,Pittsburg,P-12,7,Colebrook SAU Office
3301361940,Pittsfield,439,Pittsfield,K-12,51,Pittsfield SAU Office
3301962340,Plainfield,441,Plainfield,K-8,32,Plainfield SAU Office
3301562500,Plaistow,534,Timberlane Regional,P-12,106,Timberlane Regional SAU Office
3300962660,Plymouth,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3300962660,Plymouth,447,Plymouth,P-8,48,Plymouth SAU Office
3301562900,Portsmouth,449,Portsmouth,K-12,52,Portsmouth SAU Office
3300763860,Randolph,203,Gorham Randolph Shelburne Cooperative,K-12,20,Gorham SAU Office
3301564020,Raymond,453,Raymond,K-12,33,Raymond SAU Office
3300564420,Richmond,363,Monadnock Regional,P-12,93,Monadnock Regional SAU Office
3300564580,Rindge,274,Jaffrey-Rindge Cooperative,K-12,47,Jaffrey-Rindge SAU Office
3301765140,Rochester,461,Rochester,P-12,54,Rochester SAU Office
3301765540,Rollinsford,463,Rollinsford,K-6,104,Rollinsford SAU Office
3300565700,Roxbury,363,Monadnock Regional,P-12,93,Monadnock Regional SAU Office
3300965940,Rumney,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3300965940,Rumney,467,Rumney,K-8,48,Plymouth SAU Office
3301566180,Rye,471,Rye,K-8,50,Greenland SAU Office
3301566660,Salem,473,Salem,P-12,57,Salem SAU Office
3301366980,Salisbury,352,Merrimack Valley,P-12,46,SAU #46 Office
3300167300,Sanbornton,582,Winnisquam Regional,P-12,59,Winnisquam Regional SAU Office
3301567620,Sandown,534,Timberlane Regional,P-12,106,Timberlane Regional SAU Office
3300367780,Sandwich,269,Inter-Lakes Cooperative,P-12,2,Inter-Lakes Cooperative SAU Office
3301568260,Seabrook,485,Seabrook,P-8,21,Winnacunnet SAU Office
3301568260,Seabrook,581,Winnacunnet Cooperative,9-12,21,Winnacunnet SAU Office
3301168820,Sharon,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
3300768980,Shelburne,203,Gorham Randolph Shelburne Cooperative,K-12,20,Gorham SAU Office
3301769940,Somersworth,491,Somersworth,P-12,56,Somersworth SAU Office
3301571140,South Hampton,495,South Hampton,K-8,21,Winnacunnet SAU Office
3301972740,Springfield,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3300773060,Stark,499,Stark,K-6,58,Northumberland SAU Office
3300773380,Stewartstown,501,Stewartstown,P-8,7,Colebrook SAU Office
3300573700,Stoddard,503,Stoddard,K-5,24,Henniker SAU Office
3301773860,Strafford,507,Strafford,K-8,105,Strafford SAU Office
3300774180,Stratford,509,Stratford,P-8,58,Northumberland SAU Office
3301574340,Stratham,172,Exeter Region Cooperative,6-12,16,Exeter SAU Office
3301574340,Stratham,511,Stratham,P-5,16,Exeter SAU Office
3300974740,Sugar Hill,288,Lafayette Regional,K-6,35,SAU #35 Office
3300974740,Sugar Hill,450,Profile,7-12,35,SAU #35 Office
3300574900,Sullivan,513,Sullivan,P-12,96,Sullivan SAU Office
3301975060,Sunapee,515,Sunapee,K-12,85,Sunapee SAU Office
3300575300,Surry,519,Surry,P-12,91,Surry SAU Office
3301375460,Sutton,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3300575700,Swanzey,363,Monadnock Regional,P-12,93,Monadnock Regional SAU Office
3300376100,Tamworth,525,Tamworth,K-8,13,Tamworth SAU Office
3301176260,Temple,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
