geoid,county,district
3301352100,Merrimack,7
3301354260,Merrimack,2
3301354260,Merrimack,25
3301360020,Merrimack,12
3301361940,Merrimack,13
3301366980,Merrimack,5
3301366980,Merrimack,26
3301375460,Merrimack,6
3301378580,Merrimack,8
3301380020,Merrimack,5
3301380020,Merrimack,26
3301384900,Merrimack,6
3301502340,Rockingham,18
3301502820,Rockingham,2
3301502820,Rockingham,31
3301507220,Rockingham,6
3301507220,Rockingham,32
3301509300,Rockingham,2
3301509300,Rockingham,31
3301512100,Rockingham,3
3301512100,Rockingham,31
3301517140,Rockingham,8
3301517140,Rockingham,32
3301517460,Rockingham,2
3301517460,Rockingham,31
3301517940,Rockingham,13
3301521380,Rockingham,14
3301521380,Rockingham,34
3301524660,Rockingham,5
3301525380,Rockingham,11
3301525380,Rockingham,33
3301527940,Rockingham,7
3301527940,Rockingham,32
3301531700,Rockingham,24
3301531700,Rockingham,38
3301532900,Rockingham,15
3301532900,Rockingham,34
3301533060,Rockingham,29
3301533060,Rockingham,40
3301533460,Rockingham,19
3301533460,Rockingham,36
3301539780,Rockingham,19
3301539780,Rockingham,36
3301540100,Rockingham,14
3301540100,Rockingham,34
3301543220,Rockingham,16
3301543220,Rockingham,35
3301550980,Rockingham,22
3301550980,Rockingham,37
3301551380,Rockingham,10
3301551380,Rockingham,33
3301551620,Rockingham,21
3301551620,Rockingham,37
3301552340,Rockingham,10
3301552340,Rockingham,33
3301552900,Rockingham,20
3301552900,Rockingham,36
3301554580,Rockingham,23
3301554580,Rockingham,38
3301556820,Rockingham,1
3301557460,Rockingham,1
3301562500,Rockingham,20
3301562500,Rockingham,36
3301562900,Rockingham,21
3301562900,Rockingham,22
3301562900,Rockingham,26
3301562900,Rockingham,27
3301562900,Rockingham,28
3301562900,Rockingham,37
3301562900,Rockingham,39
3301564020,Rockingham,4
3301566180,Rockingham,24
3301566180,Rockingham,38
3301566660,Rockingham,25
3301567620,Rockingham,9
3301568260,Rockingham,30
3301568260,Rockingham,40
3301571140,Rockingham,20
3301571140,Rockingham,36
3301574340,Rockingham,12
3301574340,Rockingham,33
3301585780,Rockingham,17
3301585780,Rockingham,35
3301703460,Strafford,4
3301703460,Strafford,18
3301718820,Strafford,11
3301718820,Strafford,13
3301718820,Strafford,14
3301718820,Strafford,15
3301718820,Strafford,16
3301718820,Strafford,17
3301718820,Strafford,20
3301718820,Strafford,21
3301719700,Strafford,10
3301719700,Strafford,20
3301726020,Strafford,1
3301741460,Strafford,11
3301741460,Strafford,20
3301744820,Strafford,11
3301744820,Strafford,20
3301747700,Strafford,3
3301747700,Strafford,18
3301748660,Strafford,2
3301751220,Strafford,3
3301751220,Strafford,18
3301765140,Strafford,2
3301765140,Strafford,5
3301765140,Strafford,6
3301765140,Strafford,7
3301765140,Strafford,8
3301765140,Strafford,9
3301765140,Strafford,19
3301765540,Strafford,12
3301769940,Strafford,12
3301773860,Strafford,4
3301773860,Strafford,18
3301900260,Sullivan,4
3301911380,Sullivan,3
3301911380,Sullivan,7
3301912900,Sullivan,6
3301915060,Sullivan,2
3301915060,Sullivan,7
3301916340,Sullivan,6
3301930500,Sullivan,4
3301931220,Sullivan,1
3301940900,Sullivan,4
3301941700,Sullivan,4
3301952580,Sullivan,3
3301952580,Sullivan,7
3301962340,Sullivan,2
3301962340,Sullivan,7
3301972740,Sullivan,5
