geoid,name,website,source
3301718820,Dover,https://www.dover.nh.gov/,granit
3300519140,Dublin,https://www.townofdublin.org/,granit
3300719300,Dummer,https://www.dummernh.com/,granit
3301319460,Dunbarton,https://www.dunbartonnh.org/,granit
3301719700,Durham,https://www.durhamnh.gov/,verified
3301521380,East Kingston,https://www.eknh.org/,granit
3300922020,Easton,https://www.eastonnh.gov/,granit
3300323380,Eaton,https://www.eatonnh.org/,granit
3300323620,Effingham,https://www.effinghamnh.net/,granit
3300924340,Enfield,https://www.enfieldnh.gov/,granit
3301524660,Epping,https://www.townofepping.com/,granit
3301324900,Epsom,https://www.epsomnh.org/,granit
3300725140,Errol,https://www.errolnh.org/town-clerk,granit
3301525380,Exeter,https://www.exeternh.gov/,verified
3301726020,Farmington,https://www.farmington.nh.us,granit
3300526500,Fitzwilliam,https://fitzwilliam-nh.gov/,granit
3301127140,Francestown,https://www.francestownnh.org/,granit
3300927300,Franconia,http://www.franconianh.org/,granit
3301327380,Franklin,https://www.franklinnh.gov/,granit
3300327700,Freedom,https://townoffreedom.net/,granit
3301527940,Fremont,https://www.fremont.nh.gov/,verified
3300128740,Gilford,https://www.gilfordnh.org/,granit
3300128980,Gilmanton,https://www.gilmantonnh.org/,granit
3300529220,Gilsum,https://gilsum-nh.gov/,granit
3301129860,Goffstown,https://www.goffstown.com/,granit
3300730260,Gorham,https://www.gorhamnh.org/,granit
3301930500,Goshen,https://goshennh.org/,granit
3300930820,Grafton,https://www.townofgraftonnh.com/,granit
3301931220,Grantham,https://www.granthamnh.net/,granit
3301131540,Greenfield,https://www.greenfield-nh.gov/,granit
3301531700,Greenland,https://www.greenland-nh.com/,granit
3301131940,Greenville,https://www.greenvillenh.org/,granit
3300932180,Groton,https://grotonnh.gov/,verified
3301532900,Hampstead,https://www.hampsteadnh.us/,granit
3301533060,Hampton,https://www.hamptonnh.gov/,granit
3301533460,Hampton Falls,https://www.hamptonfalls.org/,granit
3301133700,Hancock,https://www.hancocknh.org/,granit
3300933860,Hanover,https://www.hanovernh.org/,granit
3300534420,Harrisville,https://harrisvillenh.org/,granit
3300334500,Hart's Location,https://hartslocation.com/,granit
3300934820,Haverhill,https://www.haverhill-nh.com/,granit
3300935220,Hebron,https://www.hebronnh.gov/,granit
3301335540,Henniker,https://www.henniker.org/,granit
3301335860,Hill,https://townofhillnh.org/,granit
3301136180,Hillsborough,https://hillsboroughnh.org/,granit
3300536660,Hinsdale,https://www.town.hinsdale.nh.us/,granit
3300936900,Holderness,https://www.holderness-nh.gov/,granit
3301137140,Hollis,https://www.hollisnh.org/,granit
3301337300,Hooksett,https://www.hooksett.org/,granit
3301337540,Hopkinton,https://www.hopkinton-nh.gov/,granit
3301137940,Hudson,https://www.hudsonnh.gov/,verified
3300338260,Jackson,https://www.jackson-nh.gov/,granit
3300538500,Jaffrey,https://www.townofjaffrey.com/,granit
3300738820,Jefferson,https://jeffersonnh.org/,verified
3300539300,Keene,https://keenenh.gov/,granit
3301539780,Kensington,https://www.kensingtonnh.gov/,granit
3301540100,Kingston,https://www.kingstonnh.gov/,verified
3300140180,Laconia,https://www.laconianh.gov/,granit
3300740420,Lancaster,https://www.lancasternh.org,granit
3300940660,Landaff,https://landaffnh.org/,granit
3301940900,Langdon,https://www.langdonnh.org/,granit
3300941300,Lebanon,https://lebanonnh.gov/,granit
3301741460,Lee,https://www.leenh.org/,granit
3301941700,Lempster,https://lempsternh.org/,granit
3300941860,Lincoln,https://www.lincolnnh.org/,granit
3300942020,Lisbon,https://www.lisbonnh.org/,granit
3301142260,Litchfield,https://litchfieldnh.gov/,granit
3300942580,Littleton,https://www.townoflittleton.org/,granit
3301543220,Londonderry,https://www.londonderrynh.gov/,granit
3301343380,Loudon,https://www.loudonnh.org/,granit
3300944100,Lyman,https://www.lymannh.org/,granit
3300944260,Lyme,https://www.lymenh.gov/,granit
