municipality,full_value_rate_official,local_total_rate,equalization_ratio,equalized_valuation_incl_util_rr,modified_local_assessed_value,rank,vintage,source
Henniker,20.34,23.9,86.1,879140612.0,753826574.0,208,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hill,13.68,13.46,102.0,201869063.0,203365970.0,101,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hillsborough,17.58,33.44,53.0,1141697614.0,605057258.0,186,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hinsdale,21.47,29.39,74.3,595005772.0,442142860.0,215,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Holderness,6.42,8.65,74.7,1897636307.0,1417814770.0,16,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hollis,14.5,17.73,82.4,2822539225.0,2325855286.0,117,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hooksett,14.59,16.96,87.9,3698491946.0,3247172893.0,122,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hopkinton,21.18,21.89,100.4,1451916855.0,1445822564.0,212,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Hudson,13.24,16.45,81.4,6213444156.0,5057101711.0,93,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Jackson,6.44,6.75,95.6,886510933.0,846579937.0,17,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Jaffrey,16.77,32.8,53.7,1048388875.0,563034742.0,175,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Jefferson,12.52,19.99,63.0,262994953.0,165549711.0,83,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Keene,21.6,33.07,66.8,3502617450.0,2304848831.0,217,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Kensington,12.68,13.21,96.9,713362325.0,691276772.0,87,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Kingston,15.01,16.61,91.3,1523871630.0,1391170426.0,133,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Laconia,11.88,13.63,88.3,5091989954.0,4464657531.0,71,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lancaster,16.0,19.18,83.8,542522426.0,450736614.0,161,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Landaff,15.32,25.87,59.5,102645646.0,60796298.0,143,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Langdon,18.66,28.12,66.6,116259783.0,77433129.0,198,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lebanon,18.75,26.28,72.9,3938963591.0,2780468345.0,199,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lee,18.44,25.77,72.6,1028205671.0,746347621.0,197,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lempster,15.51,28.86,54.0,281546138.0,133359238.0,148,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lincoln,7.35,11.68,63.1,2095327806.0,1320660324.0,22,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lisbon,18.77,19.98,94.4,242704911.0,229194194.0,200,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Litchfield,13.37,20.78,64.9,1898061434.0,1230631320.0,95,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Littleton,13.63,24.94,55.9,1577577858.0,875693086.0,99,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Londonderry,13.72,16.14,86.3,7522892794.0,6437647763.0,103,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Loudon,13.4,23.25,58.0,1264552232.0,729104703.0,96,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lyman,11.19,21.65,51.9,149901246.0,77914042.0,59,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lyme,18.36,27.5,67.9,619315892.0,419589800.0,195,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Lyndeborough,14.84,25.86,57.7,390940553.0,225705282.0,128,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Madbury,18.41,29.19,64.1,486516161.0,311867769.0,196,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Madison,8.14,15.77,51.8,1185297325.0,613061561.0,30,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Manchester,13.3,19.58,68.7,19582348514.0,13401719267.0,94,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Marlborough,18.02,28.73,62.9,357979754.0,223948743.0,191,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Marlow,19.2,31.0,62.2,121161254.0,75208325.0,203,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Martin's Location,15.75,26.07,60.4,1104635.0,591900.0,155,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Mason,15.38,25.55,60.4,360521332.0,217799086.0,145,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Meredith,8.61,10.26,84.1,4670382751.0,3916259153.0,37,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Merrimack,14.27,20.69,69.5,7206230416.0,5007941464.0,113,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Middleton,13.66,15.54,88.4,416790941.0,368503699.0,100,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Milan,13.63,23.33,59.2,259537014.0,153579186.0,99,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Milford,15.86,23.67,67.5,3106656496.0,2094412219.0,158,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Milton,13.69,13.95,98.9,970442754.0,958833884.0,102,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Monroe,8.07,10.66,83.2,717701568.0,597283893.0,29,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Mont Vernon,19.15,19.76,97.4,578567812.0,563539226.0,202,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Moultonborough,4.95,5.65,87.8,7224593510.0,6336332532.0,11,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Nashua,14.62,15.9,93.8,17997701987.0,16806394706.0,124,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Nelson,13.17,17.71,74.6,227053515.0,169228481.0,91,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
New Boston,17.02,23.79,71.9,1339653896.0,963327741.0,178,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
New Castle,3.64,5.39,67.5,1603489529.0,1082355929.0,5,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
New Durham,11.73,19.43,60.5,1057460303.0,639977460.0,69,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
New Hampton,11.46,13.25,87.3,680109257.0,591895576.0,64,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
New Ipswich,14.5,15.22,95.8,913667343.0,875350506.0,117,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
New London,8.95,11.61,77.3,2676664592.0,2069211739.0,42,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Newbury,9.73,10.02,97.2,1729942035.0,1677549480.0,49,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Newfields,14.29,16.09,89.4,514010756.0,459551015.0,114,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Newington,7.44,7.88,99.2,1284727165.0,1271862730.0,24,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Newmarket,16.21,17.2,94.8,1819315034.0,1723310237.0,165,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
