geoid,name,county,year,residential,commercial_industrial,utilities,other,gross
3300974740,Sugar Hill,Grafton,2025,321976690,6837900,10487000,638908,339940498
3300976740,Thornton,Grafton,2025,929792600,47962400,17961500,753433,996469933
3300978740,Warren,Grafton,2025,92132516,3845900,11973100,559079,108510595
3300979380,Waterville Valley,Grafton,2025,707688100,30256500,5109434,14010,743068044
3300980500,Wentworth,Grafton,2025,115754400,10817000,5367100,765737,132704237
3300987060,Woodstock,Grafton,2025,503328980,64985710,16885400,197936,585398026
3301101300,Amherst,Hillsborough,2025,2121285651,244533925,93129100,908600,2459857276
3301101700,Antrim,Hillsborough,2025,388684979,24082890,24756200,1007720,438531789
3301104500,Bedford,Hillsborough,2025,5202224326,981969168,119865700,330735,6304389929
3301104900,Bennington,Hillsborough,2025,194580700,20723600,5496500,434680,221235480
3301108100,Brookline,Hillsborough,2025,1122912828,40814884,13321800,457776,1177507288
3301117780,Deering,Hillsborough,2025,404951218,10450700,13810600,1666866,430879384
3301127140,Francestown,Hillsborough,2025,394354420,13618500,5175200,1279646,414427766
3301129860,Goffstown,Hillsborough,2025,2410367304,239785564,130784600,917032,2781854500
3301131540,Greenfield,Hillsborough,2025,300843750,24514037,5424300,1135786,331917873
3301131940,Greenville,Hillsborough,2025,178008100,45203600,6529100,282299,230023099
3301133700,Hancock,Hillsborough,2025,292921703,5915200,6282100,743819,305862822
3301136180,Hillsborough,Hillsborough,2025,861769085,117665900,50948200,1666633,1032049818
3301137140,Hollis,Hillsborough,2025,2244032568,81747346,17597800,817887,2344195601
3301137940,Hudson,Hillsborough,2025,3934594860,1042262046,169577400,351978,5146786284
3301142260,Litchfield,Hillsborough,2025,1781384200,124051600,86074400,420202,1991930402
3301144580,Lyndeborough,Hillsborough,2025,338925002,6575000,4749800,1934389,352184191
3301145140,Manchester,Hillsborough,2025,8622388814,4477856291,376629100,277730,13477151935
3301146260,Mason,Hillsborough,2025,212441200,3592400,5236300,444395,221714295
3301147540,Merrimack,Hillsborough,2025,3709060300,1175477212,157770600,286991,5042595103
3301148020,Milford,Hillsborough,2025,1713107223,352543313,34109800,1020895,2100781231
3301149140,Mont Vernon,Hillsborough,2025,554443290,3359950,6791100,526201,565120541
