name,geoid,year,filename,note
Loudon,3301343380,2024,3301343380_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Lyman,3300944100,2025,3300944100_2025.pdf,text-form
Lyndeborough,3301144580,2024,3301144580_2024.pdf,text-form
Manchester,3301145140,2022,3301145140_2022.pdf,no standard DRA form found (name-only summary or city GASB format)
Marlborough,3300545460,2025,3300545460_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Marlow,3300545700,2025,3300545700_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Mason,3301146260,2025,3301146260_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Meredith,3300147140,2025,3300147140_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Merrimack,3301147540,2025,3301147540_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Middleton,3301747700,2025,3301747700_2025.pdf,scanned-ocr
Milan,3300747860,2025,3300747860_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Milton,3301748660,2025,3301748660_2025.pdf,text-form
Mont Vernon,3301149140,2024,3301149140_2024.pdf,skipped: PDF hangs parser (needs a page hint)
Nashua,3301150260,2023,3301150260_2023.pdf,timeout >120s
Nelson,3300550580,2025,3300550580_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
New Castle,3301550980,2025,3301550980_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
New Hampton,3300151540,2024,3300151540_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
New Ipswich,3301151940,2025,3301151940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
New London,3301352100,2025,3301352100_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Newbury,3301350900,2024,3301350900_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Newington,3301551620,2024,3301551620_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Newmarket,3301552340,2025,3301552340_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Newton,3301552900,2025,3301552900_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
North Hampton,3301554580,2025,3301554580_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Northfield,3301354260,2025,3301354260_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Northwood,3301556820,2025,3301556820_2025.pdf,text-form
Nottingham,3301557460,2025,3301557460_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Orange,3300958340,2025,3300958340_2025.pdf,text-form
