district_id,year,function_code,function_name,amount,pct
31,2013,1400,Other Instructional Programs,59982.0,0.6
31,2013,2100,Student Support Services,590450.0,5.6
31,2013,2200,Instructional Staff Support,245585.0,2.3
31,2013,2300&2800,Genral Administration & Business,296546.0,2.8
31,2013,2400,School Administration,521522.0,5.0
31,2013,2500,Business Services,0.0,0.0
31,2013,2600,Plant Operations,553048.0,5.3
31,2013,2700,Transportation,484203.0,4.6
31,2013,2900,Other Support Services,0.0,0.0
31,2013,1500,Non-public Programs,0.0,0.0
31,2013,"1600-1800,2750",Community Programs,0.0,0.0
31,2013,5120,Bond Interest,204114.0,1.9
31,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
31,2013,3100,Food Service,84457.97,0.8
31,2013,4000,Facility Construction,0.0,
31,2013,5100,Bonds & Notes Principal Repayment,480000.0,
33,2013,1100,Regular Education,9234268.0,51.7
33,2013,1200,Special Programs,3140165.0,17.6
33,2013,1300,Vocational Programs,0.0,0.0
33,2013,1400,Other Instructional Programs,59144.0,0.3
33,2013,2100,Student Support Services,1118092.0,6.3
33,2013,2200,Instructional Staff Support,510376.0,2.9
33,2013,2300&2800,Genral Administration & Business,494481.0,2.8
33,2013,2400,School Administration,786828.0,4.4
33,2013,2500,Business Services,159876.0,0.9
33,2013,2600,Plant Operations,1158496.0,6.5
33,2013,2700,Transportation,780148.0,4.4
33,2013,2900,Other Support Services,0.0,0.0
33,2013,1500,Non-public Programs,0.0,0.0
33,2013,"1600-1800,2750",Community Programs,0.0,0.0
33,2013,5120,Bond Interest,334410.0,1.9
33,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
33,2013,3100,Food Service,93214.20000000001,0.5
33,2013,4000,Facility Construction,13000.0,
33,2013,5100,Bonds & Notes Principal Repayment,710000.0,
35,2013,1100,Regular Education,4529349.0,60.3
35,2013,1200,Special Programs,851522.0,11.3
35,2013,1300,Vocational Programs,0.0,0.0
35,2013,1400,Other Instructional Programs,92860.0,1.2
35,2013,2100,Student Support Services,445148.0,5.9
35,2013,2200,Instructional Staff Support,132816.0,1.8
35,2013,2300&2800,Genral Administration & Business,311658.0,4.2
35,2013,2400,School Administration,300541.0,4.0
35,2013,2500,Business Services,0.0,0.0
