district_id,year,source_code,source_name,amount,pct
91,2025,5110&5140,Sales of Bonds & Notes,0.0,
93,2025,1100,Local Property Tax,11127990.0,71.1
93,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",132987.15000000037,0.9
93,2025,3111&3112&3119,State Foundation/Adequacy Aid,3828775.0,24.5
93,2025,3120-3900,Other State Aid,235302.0,1.5
93,2025,4000,Federal Aid,319803.0,2.0
93,2025,5300-5600,Other,0.0,0.0
93,2025,5110&5140,Sales of Bonds & Notes,0.0,
95,2025,1100,Local Property Tax,7009314.0,75.3
95,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",203422.02000000048,2.2
95,2025,3111&3112&3119,State Foundation/Adequacy Aid,1802346.0,19.4
95,2025,3120-3900,Other State Aid,6956.0,0.1
95,2025,4000,Federal Aid,285188.0,3.1
95,2025,5300-5600,Other,0.0,0.0
95,2025,5110&5140,Sales of Bonds & Notes,0.0,
99,2025,1100,Local Property Tax,5683455.0,72.5
99,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",203764.01999999955,2.6
99,2025,3111&3112&3119,State Foundation/Adequacy Aid,1495310.0,19.1
99,2025,3120-3900,Other State Aid,153647.0,2.0
99,2025,4000,Federal Aid,299678.0,3.8
99,2025,5300-5600,Other,0.0,0.0
99,2025,5110&5140,Sales of Bonds & Notes,0.0,
101,2025,1100,Local Property Tax,18228567.0,45.8
101,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",1063346.9099999964,2.7
101,2025,3111&3112&3119,State Foundation/Adequacy Aid,15859197.0,39.8
101,2025,3120-3900,Other State Aid,505492.0,1.3
101,2025,4000,Federal Aid,4142194.0,10.4
101,2025,5300-5600,Other,0.0,0.0
101,2025,5110&5140,Sales of Bonds & Notes,0.0,
103,2025,1100,Local Property Tax,542373.0,81.4
103,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",4227.979999999981,0.6
103,2025,3111&3112&3119,State Foundation/Adequacy Aid,112669.0,16.9
103,2025,3120-3900,Other State Aid,3311.0,0.5
103,2025,4000,Federal Aid,3541.0,0.5
103,2025,5300-5600,Other,0.0,0.0
103,2025,5110&5140,Sales of Bonds & Notes,0.0,
105,2025,1100,Local Property Tax,2861241.0,33.6
105,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",1894086.4800000004,22.2
105,2025,3111&3112&3119,State Foundation/Adequacy Aid,2450056.0,28.8
105,2025,3120-3900,Other State Aid,22079.0,0.3
105,2025,4000,Federal Aid,1291509.0,15.2
105,2025,5300-5600,Other,0.0,0.0
105,2025,5110&5140,Sales of Bonds & Notes,0.0,
107,2025,1100,Local Property Tax,1076762.0,67.1
107,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",17528.62999999989,1.1
107,2025,3111&3112&3119,State Foundation/Adequacy Aid,483813.0,30.1
107,2025,3120-3900,Other State Aid,10736.0,0.7
107,2025,4000,Federal Aid,16823.0,1.0
107,2025,5300-5600,Other,0.0,0.0
107,2025,5110&5140,Sales of Bonds & Notes,0.0,
743,2025,1100,Local Property Tax,0.0,0.0
743,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",193739.0,8.1
743,2025,3111&3112&3119,State Foundation/Adequacy Aid,1515795.0,63.2
743,2025,3120-3900,Other State Aid,171549.0,7.1
743,2025,4000,Federal Aid,518695.0,21.6
743,2025,5300-5600,Other,0.0,0.0
743,2025,5110&5140,Sales of Bonds & Notes,0.0,
111,2025,1100,Local Property Tax,66986388.0,59.3
111,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",8512475.179999992,7.5
111,2025,3111&3112&3119,State Foundation/Adequacy Aid,25512383.0,22.6
111,2025,3120-3900,Other State Aid,3329488.0,2.9
111,2025,4000,Federal Aid,8538519.0,7.6
111,2025,5300-5600,Other,0.0,0.0
111,2025,5110&5140,Sales of Bonds & Notes,18555000.0,
112,2025,1100,Local Property Tax,44181275.0,72.0
112,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",1161789.0,1.9
112,2025,3111&3112&3119,State Foundation/Adequacy Aid,12241005.0,19.9
112,2025,3120-3900,Other State Aid,902001.0,1.5
112,2025,4000,Federal Aid,2876552.0,4.7
112,2025,5300-5600,Other,0.0,0.0
112,2025,5110&5140,Sales of Bonds & Notes,0.0,
113,2025,1100,Local Property Tax,20356634.0,51.4
113,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",10358627.190000001,26.2
113,2025,3111&3112&3119,State Foundation/Adequacy Aid,6206172.0,15.7
113,2025,3120-3900,Other State Aid,57677.0,0.1
113,2025,4000,Federal Aid,2622626.0,6.6
113,2025,5300-5600,Other,0.0,0.0
113,2025,5110&5140,Sales of Bonds & Notes,0.0,
114,2025,1100,Local Property Tax,72672.0,71.6
114,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",0.0,0.0
114,2025,3111&3112&3119,State Foundation/Adequacy Aid,28790.0,28.4
114,2025,3120-3900,Other State Aid,0.0,0.0
114,2025,4000,Federal Aid,0.0,0.0
114,2025,5300-5600,Other,0.0,0.0
114,2025,5110&5140,Sales of Bonds & Notes,0.0,
115,2025,1100,Local Property Tax,3819301.0,73.0
115,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",100577.3200000003,1.9
115,2025,3111&3112&3119,State Foundation/Adequacy Aid,1107039.0,21.1
115,2025,3120-3900,Other State Aid,658.0,0.0
115,2025,4000,Federal Aid,207182.0,4.0
115,2025,5300-5600,Other,0.0,0.0
115,2025,5110&5140,Sales of Bonds & Notes,0.0,
117,2025,1100,Local Property Tax,1061997.0,63.0
117,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",8598.270000000019,0.5
117,2025,3111&3112&3119,State Foundation/Adequacy Aid,560502.0,33.2
117,2025,3120-3900,Other State Aid,2322.0,0.1
117,2025,4000,Federal Aid,52948.0,3.1
117,2025,5300-5600,Other,0.0,0.0
117,2025,5110&5140,Sales of Bonds & Notes,0.0,
127,2025,1100,Local Property Tax,14156501.0,76.0
127,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",168415.26999999955,0.9
127,2025,3111&3112&3119,State Foundation/Adequacy Aid,3470355.0,18.6
127,2025,3120-3900,Other State Aid,411829.0,2.2
127,2025,4000,Federal Aid,409054.0,2.2
127,2025,5300-5600,Other,0.0,0.0
127,2025,5110&5140,Sales of Bonds & Notes,0.0,
131,2025,1100,Local Property Tax,65569945.0,62.4
131,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",769924.0500000045,0.7
131,2025,3111&3112&3119,State Foundation/Adequacy Aid,31511354.0,30.0
131,2025,3120-3900,Other State Aid,1861415.0,1.8
131,2025,4000,Federal Aid,5365399.0,5.1
131,2025,5300-5600,Other,0.0,0.0
131,2025,5110&5140,Sales of Bonds & Notes,0.0,
141,2025,1100,Local Property Tax,57034234.0,61.9
141,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",6556699.310000002,7.1
141,2025,3111&3112&3119,State Foundation/Adequacy Aid,18344078.0,19.9
141,2025,3120-3900,Other State Aid,2561389.0,2.8
141,2025,4000,Federal Aid,7573748.0,8.2
141,2025,5300-5600,Other,0.0,0.0
